Marca,Modelo,Motor,Potencia (cv),Precio (€),Km,Ciudad,Año,Image
Alfa Romeo,2.2 Veloce,Diesel,210,46.400,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/19/e/medium/99896b470bba24486464c4dd5cbefc1b.JPG
Alfa Romeo,2.2 Villa D´Este Q4,Diesel,210,61.900,5,Avila,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/17/c/medium/10ebd272b78fd26260691a2e7fdc22e2.jpg
Alfa Romeo,2.2 Sprint + Q4 190,Diesel,190,49.200,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/19/2/medium/fe70a4af4097ce65699c299dc217353b.jpg
Alfa Romeo,2.0 Veloce Q4 Aut.,Gasolina,280,54.750,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/19/e/medium/9ebd083f110145429244d78dc0888f9f.jpg
Alfa Romeo,2.2 Veloce,Diesel,210,47.550,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/19/e/medium/cc505f6dcecf8d1b679c0b25d77ff9a3.jpg
Alfa Romeo,2.2 Veloce Q4 210,Diesel,210,46.700,2.300,Jaen,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/13/7/medium/0310072403imagen.jpg
Alfa Romeo,2.2 Veloce Q4 210,Diesel,210,45.300,12,Jaen,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/09/6/medium/0309441057imagen.jpg
Alfa Romeo,2.2 Sprint RWD 190,Diesel,190,43.000,9.100,Barcelona,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/9/medium/0311534479188686-1.JPG
Alfa Romeo,2.2 Sprint Q4 190 Aut.,Diesel,190,45.900,0,Alicante,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/06/7/medium/02996389491636112727445.jpg
Alfa Romeo,2.2 Executive Q4 210,Diesel,210,41.400,4.782,Barcelona,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/21/2/medium/0311534699192273-1.JPG
Alfa Romeo,2.2 Veloce Q4 210,Diesel,210,49.900,5,Avila,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/22/0/medium/7045e020140e0ddcbd18c97c12bd999a.jpg
Alfa Romeo,2.2 Veloce Ti,Diesel,210,42.990,5,Burgos,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/20/b/medium/0296922583a90d6c10-9af2-4cba-98ce-f6b413dacfc8_original.jpg
Alfa Romeo,2.2 Veloce Ti,Diesel,210,42.990,5,Burgos,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/27/c/medium/030738741351952a5b19bfe231d81e3fe6e8914a62_original.jpg
Alfa Romeo,2.0 GME Veloce Q4,Gasolina,280,46.900,5,Avila,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/05/1/medium/88c56e5165f57fab69892779af49da54.jpg
Alfa Romeo,2.0 Veloce Q4 Aut.,Gasolina,280,71.500,1,La Rioja,2021,https://imgs.coches.com/coches/fotos/usados/2021/09/26/7/medium/0292856647imagen.jpeg
Alfa Romeo,2.0 Sprint Aut. 200,Gasolina,200,43.990,10,La Rioja,2021,https://imgs.coches.com/coches/fotos/usados/2021/09/18/c/medium/0291367493imagen.jpeg
Alfa Romeo,2.0 Executive AWD,Gasolina,280,48.400,200,La Rioja,2020,https://imgs.coches.com/coches/fotos/usados/2021/09/18/5/medium/0291367393imagen.jpeg
Alfa Romeo,2.2 Executive,Diesel,160,33.390,10,Castellon,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/19/d/medium/0296751875017a67cd-7ac9-90b0-b3a4-51791fefcefb.jpg
Alfa Romeo,2.2 Veloce Ti,Diesel,210,41.990,5,Burgos,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/27/6/medium/0307387271558ed9ccaddc10cd80424f9f2f23d5ed_original.jpg
Alfa Romeo,2.2 Veloce Ti,Diesel,210,41.990,5,Burgos,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/09/a/medium/0295117803a90d6c10-9af2-4cba-98ce-f6b413dacfc8_original.jpg
